Date,Close,High,Low,Open,Volume,,,,,
2023-08-08,15774.92969,15946.57031,15706.30957,15868.30957,80939300,,,,,
2023-08-09,15852.58008,15983.78027,15831.08008,15918.05957,65516200,,,,,
2023-08-10,15996.51953,16060.26953,15880.41016,15921.41992,74907500,,,,,
2023-08-11,15832.16992,15962.4502,15803.08008,15927.79004,60296700,,,,,
2023-08-14,15904.25,15937.78027,15817.58984,15818.20996,43608500,,,,,
2023-08-15,15767.28027,15923.12988,15703.03027,15909.57031,45352200,,,,,
2023-08-16,15789.4502,15814.66016,15725.09961,15737.01953,39651700,,,,,
2023-08-17,15676.90039,15793.53027,15664.2998,15712.94043,48603400,,,,,
2023-08-18,15574.25977,15612.87988,15468.65039,15597.12012,59909500,,,,,
2023-08-21,15603.28027,15710.20996,15571.82031,15573.9502,45251100,,,,,
2023-08-22,15705.62012,15799.33984,15677.44043,15684.63965,42807400,,,,,
2023-08-23,15728.41016,15820.9502,15672.42969,15761.25,53425400,,,,,
2023-08-24,15621.49023,15896.74023,15618.69043,15876.21973,48251600,,,,,
2023-08-25,15631.82031,15739.78027,15578.96973,15582.9502,44315200,,,,,
2023-08-28,15792.61035,15804.9502,15673.88965,15756.46973,43473300,,,,,
2023-08-29,15930.87988,15942.12012,15805.41992,15844.75977,49760000,,,,,
2023-08-30,15891.92969,15960.40039,15823.33008,15956.91992,49478600,,,,,
2023-08-31,15947.08008,16042.66016,15914.42969,15937.38965,92766900,,,,,
2023-09-01,15840.33984,15984.58984,15840.25,15936.33984,54045200,,,,,
2023-09-04,15824.84961,15958.74023,15795.96973,15904.62988,34752500,,,,,
2023-09-05,15771.70996,15838.44043,15691.49023,15729.78027,73334000,,,,,
2023-09-06,15741.37012,15781.88965,15676.50977,15712.58984,63047100,,,,,
2023-09-07,15718.66016,15794.71973,15661.37988,15661.66016,59410800,,,,,
2023-09-08,15740.2998,15783.37988,15577.04004,15777.55957,63810400,,,,,
2023-09-11,15800.99023,15867.57031,15771.07031,15799.41992,65431300,,,,,
2023-09-12,15715.53027,15808.37988,15686.33984,15804.08008,58026400,,,,,
2023-09-13,15654.03027,15726.59961,15564.63965,15648.91992,68861200,,,,,
2023-09-14,15805.29004,15824.05957,15588.12012,15652.41016,77633300,,,,,
2023-09-15,15893.53027,15989.2998,15871.16992,15940.38965,179829200,,,,,
2023-09-18,15727.12012,15870.62012,15693.87012,15858.80957,58899600,,,,,
2023-09-19,15664.48047,15743.90039,15630.94043,15688.07031,53581800,,,,,
2023-09-20,15781.58984,15810.36035,15699.33984,15703.08984,54733100,,,,,
2023-09-21,15571.86035,15696.66016,15548.69043,15650.98047,65995100,,,,,
2023-09-22,15557.29004,15592.26953,15471.75,15473.7998,70200200,,,,,
2023-09-25,15405.49023,15572.13965,15329.40039,15513.32031,64522900,,,,,
2023-09-26,15255.87012,15360.42969,15229.34961,15330.91016,69660000,,,,,
2023-09-27,15217.4502,15299.67969,15194.67969,15225.58008,72319500,,,,,
2023-09-28,15323.5,15323.73047,15138.66016,15229.09961,60119100,,,,,
2023-09-29,15386.58008,15515.99023,15382.55957,15394.82031,110121500,,,,,
2023-10-02,15247.20996,15476.37988,15192.00977,15439.95996,61416800,,,,,
2023-10-03,15085.20996,15257.86035,15074.84961,15184.49023,64881000,,,,,
2023-10-04,15099.91992,15174.62988,14948.08008,14979.80957,75006400,,,,,
2023-10-05,15070.21973,15157.7002,15048.41992,15113.94043,47650800,,,,,
2023-10-06,15229.76953,15230.88965,15033.5498,15109.16016,65528500,,,,,
2023-10-09,15128.11035,15201.05957,15077.66016,15143.29004,52471000,,,,,
2023-10-10,15423.51953,15443.4502,15272.57031,15272.57031,62641300,,,,,
2023-10-11,15460.00977,15486.11035,15361.74023,15366.78027,65776100,,,,,
2023-10-12,15425.03027,15575.28027,15413.2002,15537.87012,52453700,,,,,
2023-10-13,15186.66016,15409.88965,15178.07031,15400.08984,63240100,,,,,
2023-10-16,15237.99023,15271.50977,15103.12012,15219.41992,55502000,,,,,
2023-10-17,15251.69043,15288.32031,15117.24023,15211.29004,49443000,,,,,
2023-10-18,15094.91016,15271.15039,15081.69043,15244.0498,62492400,,,,,
2023-10-19,15045.23047,15104.37012,14984.58984,15060.65039,69923300,,,,,
2023-10-20,14798.46973,14936.49023,14798.46973,14872.01953,90638400,,,,,
2023-10-23,14800.71973,14838.00977,14630.20996,14823.03027,61261000,,,,,
2023-10-24,14879.94043,14916.59961,14750.32031,14802.51953,62022100,,,,,
2023-10-25,14892.17969,14933.69043,14789.62988,14870.62988,88086100,,,,,
2023-10-26,14731.0498,14795.41016,14655.08008,14696.21973,121803600,,,,,
2023-10-27,14687.41016,14824.29004,14667.37012,14757.11035,86539200,,,,,
2023-10-30,14716.54004,14798,14678.73047,14770.9502,76179000,,,,,
2023-10-31,14810.33984,14829.62012,14722.37988,14741.44043,75370200,,,,,
2023-11-01,14923.26953,14949.58008,14786.32031,14851.95996,63588700,,,,,
2023-11-02,15143.59961,15202.42969,15028.03027,15033.65039,89446500,,,,,
2023-11-03,15189.25,15269.5,15149.71973,15203.7998,93603800,,,,,
2023-11-06,15135.96973,15223.41016,15110.83984,15219.32031,59212500,,,,,
2023-11-07,15152.63965,15194.53027,15068.25,15084.79004,62049600,,,,,
2023-11-08,15229.59961,15287.73047,15086.41016,15093.48047,107586700,,,,,
2023-11-09,15352.54004,15364.49023,15212.99023,15246.5,68377100,,,,,
2023-11-10,15234.38965,15309.51953,15171.58008,15296.58008,77014100,,,,,
2023-11-13,15345,15346.79004,15252.26953,15285.12012,65170400,,,,,
2023-11-14,15614.42969,15632.44043,15337.59961,15358.58984,98894400,,,,,
2023-11-15,15748.16992,15759.83984,15628.19043,15631.66992,91670700,,,,,
2023-11-16,15786.61035,15862.08984,15783.50977,15806.91016,68438900,,,,,
2023-11-17,15919.16016,15952.4502,15826.66992,15828.78027,81125800,,,,,
2023-11-20,15901.33008,15929.92969,15854.82031,15915.24023,93605500,,,,,
2023-11-21,15900.53027,15948.07031,15891.30957,15911.01953,70926900,,,,,
2023-11-22,15957.82031,15998.41016,15931.74023,15965.12988,58757800,,,,,
2023-11-23,15994.73047,16005.4502,15958.05957,15976.62012,38717400,,,,,
2023-11-24,16029.49023,16041.16992,15972.66992,15988.19043,46227600,,,,,
2023-11-27,15966.37012,16039.41992,15957.95996,16007.25977,50564800,,,,,
2023-11-28,15992.66992,15993.41992,15915.40039,15939.19043,60601100,,,,,
2023-11-29,16166.4502,16208.96973,16010.48047,16013.16016,69366600,,,,,
2023-11-30,16215.42969,16262.95996,16169.11035,16204.74023,108532100,,,,,
2023-12-01,16397.51953,16399.06055,16279.4502,16296.91992,68139400,,,,,
2023-12-04,16404.75977,16455.67969,16386.80078,16390.16992,52149300,,,,,
2023-12-05,16533.10938,16551.33984,16394.01953,16405.14063,63916000,,,,,
2023-12-06,16656.43945,16727.07031,16536.11914,16565.65039,78581700,,,,,
2023-12-07,16628.99023,16655.30078,16595.10938,16623.89063,76803200,,,,,
2023-12-08,16759.2207,16782.7207,16630.17969,16644.61914,77814500,,,,,
2023-12-11,16794.42969,16817.81055,16734.26953,16760.58984,66736100,,,,,
2023-12-12,16791.74023,16837.17969,16753.81055,16823.00977,67862500,,,,,
2023-12-13,16766.05078,16836.44922,16760.11914,16811.56055,65413500,,,,,
2023-12-14,16752.23047,17003.2793,16670.34961,16948.78906,141290100,,,,,
2023-12-15,16751.43945,16890.10938,16713.69922,16822.5,173711500,,,,,
2023-12-18,16650.55078,16744.26953,16624.65039,16683.68945,56720400,,,,,
2023-12-19,16744.41016,16750.50977,16656.64063,16657.43945,59217500,,,,,
2023-12-20,16733.05078,16789.96094,16694.56055,16779.41016,63366400,,,,,
2023-12-21,16687.41992,16708.34961,16624.16016,16667.31055,57871300,,,,,
2023-12-22,16706.17969,16735.32031,16651.7793,16673.30078,46295300,,,,,
2023-12-27,16742.07031,16775.71094,16697.58008,16727.76953,37678900,,,,,
2023-12-28,16701.55078,16783.78906,16688.51953,16780.94922,36091600,,,,,
2023-12-29,16751.64063,16758.5293,16726.9707,16729.25977,26861900,,,,,
2024-01-02,16769.35938,16963.4707,16648.80078,16828.75,59893300,,,,,
2024-01-03,16538.39063,16784.07031,16479.91992,16771.34961,70845800,,,,,
2024-01-04,16617.28906,16626.83984,16501.40039,16563.68945,65869400,,,,,
2024-01-05,16594.21094,16645.89063,16448.71094,16504.88086,66762900,,,,,
2024-01-08,16716.4707,16716.4707,16517.49023,16618.50977,55073400,,,,,
2024-01-09,16688.35938,16743.26953,16611.5293,16743.26953,59798500,,,,,
2024-01-10,16689.81055,16753.68945,16654.99023,16703.11914,61300900,,,,,
2024-01-11,16547.0293,16839.49023,16541.38086,16775.91992,72206800,,,,,
2024-01-12,16704.56055,16752.24023,16608,16649.44922,62163000,,,,,
2024-01-15,16622.2207,16736.16016,16609.2207,16723.24023,47795000,,,,,
2024-01-16,16571.67969,16581.92969,16476.08984,16497.53906,73101900,,,,,
2024-01-17,16431.68945,16435.67969,16345.01953,16400.41992,71437800,,,,,
2024-01-18,16567.34961,16579.11914,16421.19922,16440.66016,72318600,,,,,
2024-01-19,16555.13086,16647.84961,16513.46094,16626.5293,66146800,,,,,
2024-01-22,16683.35938,16705.49023,16607.7207,16684.09961,67438700,,,,,
2024-01-23,16627.08984,16753.08984,16626.58984,16753.08984,64365600,,,,,
2024-01-24,16889.91992,16921.41016,16760.91992,16793.26953,74569200,,,,,
2024-01-25,16906.91992,16916.59961,16785.68945,16849.75977,62016700,,,,,
